* model testen op andere dataset
* * oude telefoon data
* * zelfgegenereerde data
* * 

* User identification
**  The frequency of oscillation is called the fundamental frequency and it depends upon
the length, mass and the tension of the vocal folds. The fundamental frequency therefore is
another distinguishing characteristic for a given speaker. 

@relation no2-weka.filters.unsupervised.attribute.Remove-R15

@attribute speech {no,yes}
@attribute ' Avgf0' numeric
@attribute ' Avgf1' numeric
@attribute ' Avgf2' numeric
@attribute ' Avgf3' numeric
@attribute ' Avgf4' numeric
@attribute ' Avgf5' numeric
@attribute ' Avgf6' numeric
@attribute ' Avgf7' numeric
@attribute ' Avgf8' numeric
@attribute ' Avgf9' numeric
@attribute ' Avgf10' numeric
@attribute ' Avgf11' numeric
@attribute ' Avgf12' numeric

@data
no,3.942531,3.63439,3.852943,3.920717,4.366029,4.633155,4.379912,4.389359,4.508895,4.528501,4.650766,4.814391,4.797977
no,4.153508,3.426886,4.02474,4.057798,4.29159,4.487523,4.366555,4.505996,4.570143,4.626866,4.770288,5.127018,5.147478
no,4.798895,3.858785,4.206875,4.084577,4.290583,4.61524,4.590445,4.652068,4.650785,4.694488,4.940086,5.050519,5.109724
no,4.099567,3.219796,3.474454,3.382049,3.69556,3.992257,3.903225,3.917482,3.834337,4.077609,4.441531,4.844938,4.800964
no,7.256824,6.366772,6.674996,6.625902,6.887194,6.941664,6.808945,7.061526,6.980952,6.846256,6.834798,7.034476,6.618176
no,5.798594,4.894269,4.930486,4.83754,5.086248,5.212799,5.069801,5.226396,5.011976,5.004772,5.120552,5.388299,5.313118
no,5.121518,4.5113,4.772006,4.58051,4.911981,5.024166,4.947774,5.060594,4.801768,4.773776,4.820023,5.064663,5.104568
no,4.969541,4.276885,4.873217,4.701521,4.712047,4.69118,4.48022,4.721803,4.805998,4.805407,4.925844,4.968892,4.674472
no,5.904474,5.009745,5.436369,5.628604,5.892345,6.158688,6.179353,6.251519,6.293543,6.526109,6.695272,6.73982,6.288559
no,8.223169,6.61774,5.847238,5.644255,5.535105,5.544908,5.208294,5.105475,4.984492,4.978414,5.013854,5.072461,4.991743
no,5.917952,5.069568,5.411872,5.300067,5.604603,5.768791,5.610924,5.718339,5.665388,5.582516,5.597156,5.89388,5.827848
no,3.949988,3.036887,3.46347,3.613867,3.696232,3.815443,3.801315,3.905341,3.87599,4.194861,4.480655,4.753479,4.767777
no,6.447738,5.009176,4.974634,4.867751,5.024741,5.243487,5.146256,5.370479,5.426919,5.54596,5.682688,5.931058,5.963192
no,4.429113,3.427449,3.654896,3.598166,3.793306,4.044087,3.889686,4.063644,4.036492,4.167527,4.461481,4.718142,4.704508
no,4.297864,3.246364,3.402743,3.398038,3.654076,3.779976,3.634346,3.879884,3.923562,4.065583,4.400881,4.915968,4.749813
no,5.389684,4.210667,4.152776,4.084765,4.200693,4.534879,4.342009,4.192746,4.335761,4.453675,4.624316,4.624067,4.737948
no,6.459626,5.625018,5.967969,5.915828,6.072781,6.299652,6.302989,6.407385,6.625181,6.917311,7.176883,7.183609,6.729519
no,8.328392,7.189237,7.116427,6.677457,6.527161,6.5598,6.313986,6.18525,6.055612,6.087751,6.106363,6.062202,6.033452
no,6.278628,5.501462,5.837703,5.666114,5.935333,6.076229,6.002925,6.179769,6.390788,6.495635,6.622978,6.706953,6.671148
no,6.775518,5.72188,5.854572,5.688017,5.805914,5.923131,5.711791,6.030472,6.141237,6.27567,6.381896,6.486413,6.105787
