speechJ	pitch1	pitch2	jitt1	jitt2	jitt3	jitt4	jitt5	shim1	shim2	shim3	shim4	shim5	shim6	filename
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_ch01.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_ch02.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_ch03.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_ch04.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_ch05.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_ch06.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_ch07.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_ch08.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_ch09.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_ch10.wav
0	142.708	4.769	0.09722	0.000677298	6.08	0.05063	0.18239000000000002	0.5959599999999999	3.577	0	0	0	0	0_dch01.wav
0	156.432	16.565	0.09634000000000001	0.000614855	6.136	0.04694	0.18408000000000002	0.26569	1.788	0.047420000000000004	0	0	0.14226000000000003	0_dch02.wav
0	153.04	13.492	0.06758	0.000441909	4.36	0.03618	0.13081	0.25821	2.841	0	0	0	0	0_dch03.wav
0	146.025	5.26	0.06807	0.000462873	4.471	0.08263	0.13412000000000002	0.08775000000000001	0.737	0	0	0	0	0_dch04.wav
0	146.131	4.145	0.0674	0.000453386	4.175	0.02921	0.12525	0.41277	2.291	0	0	0	0	0_dch05.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_dch06.wav
0	146.586	7.633	0.05604	0.000443848	3.161	0	0.09484000000000001	0	0	0	0	0	0	0_dch07.wav
0	148.311	1.366	0.007750000000000001	5.2842e-05	0	0	0	0	0	0	0	0	0	0_dch08.wav
0	147.964	2.495	0.09418	0.000639784	6.183000000000001	0	0.18549	0.46832	3.573	0	0	0	0	0_dch09.wav
0	144.717	5.712	0.06141	0.000430107	3.6019999999999994	0.03374	0.10805	0.16259	1.883	0	0	0	0	0_dch10.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_hch01.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_hch02.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_hch03.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_hch04.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_hch05.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_hch06.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_hch07.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_hch08.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_hch09.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_hch10.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_och01.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_och02.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_och03.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_och04.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_och05.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_och06.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_och07.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_och08.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_och09.wav
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_och10.wav
0	289.106	14.385	0.026680000000000002	9.2797e-05	0.882	0.0020399999999999997	0.026469999999999997	0.15982	1.434	0.09142	0.11382999999999999	0	0.27427	0_pch01.wav
0	293.116	6.384	0.034710000000000005	0.000119118	1.528	0.00402	0.04584	0.19132000000000002	1.687	0.09842000000000001	0.09811	0	0.29526	0_pch02.wav
0	289.424	10.565	0.007940000000000001	2.6854e-05	0.49	0.0053	0.01471	0.16765999999999998	1.48	0.09050000000000001	0.08726	0	0.27149	0_pch03.wav
0	292.014	7.712	0.04947	0.000163567	2.395	0.0032500000000000003	0.07185	0.24331	2.021	0.10338	0.18898	0	0.31015000000000004	0_pch04.wav
0	293.139	3.077	0.04407	0.000152621	1.9980000000000002	0.00307	0.05994	0.19023	1.892	0.09218	0.08741	0.023039999999999998	0.27654	0_pch05.wav
0	291.025	4.786	0.020630000000000003	6.9629e-05	0.83	0.00813	0.02489	0.17324000000000003	1.802	0.07506	0.15542999999999998	0	0.22518000000000002	0_pch06.wav
0	294.19	2.96	0.05137	0.000173718	3.7740000000000005	0.05434	0.11321	0.17246	1.659	0.05881	0	0	0.17642	0_pch07.wav
0	291.348	4.966	0.05018	0.000176788	1.6840000000000002	0.0028599999999999997	0.05053	0.2913	2.388	0.19054	0	0	0.5716100000000001	0_pch08.wav
0	287.247	12.592	0.06368	0.000215705	3.321	0.052590000000000005	0.09964	0.22389	1.898	0.11229	0	0	0.33687	0_pch09.wav
